"species","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"Tapirus terrestris",-76.636659,0.963712,24.6411247253418,9.37483406066895,87.0700607299805,45.273120880127,30.0282497406006,19.2612495422363,10.7670001983643,24.0381660461426,25.0692081451416,25.1257915496826,24.0381660461426,4094,450,252,20.5301704406738,1305,811,858,1305
"Tapirus terrestris",-76.787942,0.847524,22.4385318756104,9.1373119354248,89.8060150146484,31.0059337615967,27.4685001373291,17.2940006256104,10.1744995117188,22.0111656188965,22.6925411224365,22.7261238098145,22.003999710083,3883,447,238,22.1010131835938,1277,760,800,1165
"Tapirus terrestris",-77.306012,0.353403,23.2583026885986,9.09047889709473,91.1668853759766,29.5462512969971,28.2472496032715,18.2759990692139,9.97125053405762,22.9841251373291,23.4698753356934,23.5653743743896,22.8522911071777,2975,317,192,17.7564830780029,923,595,705,875
"Tapirus terrestris",-69.030166,-12.336195,25.2457294464111,10.5929164886475,71.5169906616211,103.591720581055,31.9849987030029,17.1732501983643,14.8117485046387,25.9278335571289,23.7988338470459,26.144458770752,23.7394161224365,2032,304,51,58.3305740356445,874,164,655,200
"Tapirus terrestris",-78.046827,-1.518674,20.4419994354248,9.21037483215332,86.6614151000977,41.7185897827148,25.8857498168945,15.2577495574951,10.6280002593994,20.3947086334229,20.6305408477783,20.7729587554932,19.7950839996338,3878,419,268,14.8869276046753,1168,838,899,1027
"Tapirus terrestris",-78.122426,-1.466342,19.0455322265625,9.24910449981689,86.7706756591797,39.4420166015625,24.5610008239746,13.9017496109009,10.6592512130737,18.6443748474121,19.1846675872803,19.3866672515869,18.4375419616699,3325,403,202,21.0659446716309,1063,635,717,996
"Tapirus terrestris",-47.40985,-24.085678,19.267822265625,8.32185363769531,52.857307434082,262.6806640625,26.5847492218018,10.8407497406006,15.7439994812012,22.3200836181641,15.9959163665771,22.4067916870117,15.9959163665771,1758,262,70,45.2310600280762,700,216,694,216
"Tapirus terrestris",-64.674045,-11.299019,26.412239074707,10.9299373626709,74.9344482421875,66.0490417480469,33.2574996948242,18.671501159668,14.5859985351562,26.546667098999,25.606876373291,27.1446666717529,25.49387550354,1697,264,9,65.2511901855469,750,54,388,144
"Tapirus terrestris",-71.246741,-12.958626,23.2422924041748,10.5578746795654,78.8003997802734,80.8830642700195,29.8162498474121,16.4179992675781,13.398250579834,23.750415802002,22.1173324584961,23.9512920379639,22.0699157714844,3479,485,141,41.9907913208008,1347,465,983,485
"Tapirus terrestris",-52.847938,-18.167367,21.4893436431885,12.583104133606,67.5893249511719,166.607604980469,29.2452507019043,10.6282501220703,18.617000579834,22.6412086486816,19.2110004425049,22.8685417175293,19.0370826721191,1601,303,22,70.0155410766602,757,75,573,109
"Tapirus terrestris",-71.137302,-12.153362,24.8963012695312,10.3258123397827,76.7048263549805,84.6252899169922,31.2432498931885,17.7814998626709,13.4617500305176,25.4811668395996,23.6848754882812,25.630500793457,23.6848754882812,2910,408,100,46.5800323486328,1147,328,891,328
"Tapirus terrestris",-77.754736,-1.117026,23.3284473419189,9.548020362854,88.8911437988281,43.0794639587402,28.7415008544922,18.0002498626709,10.7412509918213,23.0178337097168,23.6294593811035,23.6831245422363,22.6812915802002,4282,492,243,22.0558681488037,1375,786,938,1234
"Tapirus terrestris",-77.739447,-1.071373,23.3284473419189,9.548020362854,88.8911437988281,43.0794639587402,28.7415008544922,18.0002498626709,10.7412509918213,23.0178337097168,23.6294593811035,23.6831245422363,22.6812915802002,4282,492,243,22.0558681488037,1375,786,938,1234
"Tapirus terrestris",-63.461462,-8.146507,25.7273845672607,10.7313537597656,72.7524719238281,41.6697654724121,32.919002532959,18.1685009002686,14.7505016326904,25.6730422973633,25.3088340759277,26.2113742828369,25.1786251068115,2248,338,18,63.2279434204102,965,111,503,189
"Tapirus terrestris",-50.915336,-20.264384,22.7230319976807,12.1346044540405,64.2927017211914,239.778182983398,30.5154991149902,11.6414995193481,18.8740005493164,25.0353755950928,19.5191669464111,25.0353755950928,19.4198741912842,1200,229,16,73.0090103149414,596,68,596,93
"Tapirus terrestris",-77.811437,-0.868059,22.3473434448242,9.56693744659424,89.3542556762695,39.3621635437012,27.7630004882812,17.0562496185303,10.706750869751,22.0593757629395,22.5932502746582,22.6783332824707,21.7589588165283,4102,474,238,23.8910942077637,1344,731,881,1193
"Tapirus terrestris",-77.859461,-0.957534,19.552396774292,9.40583324432373,90.0489120483398,34.1189422607422,24.8582496643066,14.4130001068115,10.4452495574951,19.417667388916,19.712833404541,19.8530426025391,19.0158748626709,3186,376,184,24.4766826629639,1049,567,651,956
"Tapirus terrestris",-77.94883,-0.940421,19.552396774292,9.40583324432373,90.0489120483398,34.1189422607422,24.8582496643066,14.4130001068115,10.4452495574951,19.417667388916,19.712833404541,19.8530426025391,19.0158748626709,3186,376,184,24.4766826629639,1049,567,651,956
"Tapirus terrestris",-47.397853,-24.146558,19.267822265625,8.32185363769531,52.857307434082,262.6806640625,26.5847492218018,10.8407497406006,15.7439994812012,22.3200836181641,15.9959163665771,22.4067916870117,15.9959163665771,1758,262,70,45.2310600280762,700,216,694,216
"Tapirus terrestris",-69.481821,-12.064535,24.9303340911865,10.6241664886475,71.1860809326172,107.093887329102,31.6152496337891,16.6907501220703,14.9244995117188,25.675666809082,23.3985424041748,25.8307075500488,23.3940010070801,2101,303,50,56.0588455200195,879,173,680,204
"Tapirus terrestris",-54.771099,-20.547199,23.4764060974121,11.4041042327881,68.1462478637695,188.142120361328,30.722749710083,13.9879999160767,16.734748840332,25.1522083282471,21.0256252288818,25.1522083282471,20.7820415496826,1431,222,41,51.6349487304688,615,134,615,204
"Tapirus terrestris",-61.709711,-15.662837,24.808292388916,10.7474584579468,64.4834671020508,152.29328918457,32.2599983215332,15.5930004119873,16.6669979095459,25.7288341522217,22.8514595031738,26.2762908935547,22.570291519165,1205,198,14,66.6686782836914,556,69,409,91
"Tapirus terrestris",-52.891967,-18.122842,21.4472389221191,12.572229385376,67.4810638427734,165.327331542969,29.2235012054443,10.5927495956421,18.6307525634766,22.5742492675781,19.1808338165283,22.8148345947266,19.0127506256104,1611,307,21,70.7834396362305,764,72,577,104
"Tapirus terrestris",-77.98193,-0.983259,19.552396774292,9.40583324432373,90.0489120483398,34.1189422607422,24.8582496643066,14.4130001068115,10.4452495574951,19.417667388916,19.712833404541,19.8530426025391,19.0158748626709,3186,376,184,24.4766826629639,1049,567,651,956
"Tapirus terrestris",-77.948047,-0.990704,19.552396774292,9.40583324432373,90.0489120483398,34.1189422607422,24.8582496643066,14.4130001068115,10.4452495574951,19.417667388916,19.712833404541,19.8530426025391,19.0158748626709,3186,376,184,24.4766826629639,1049,567,651,956
"Tapirus terrestris",-47.590258,-24.192164,21.8013019561768,8.34231185913086,51.7408905029297,274.358856201172,29.3489990234375,13.2257499694824,16.1232490539551,25.0972080230713,18.4174175262451,25.0972080230713,18.4174175262451,1632,247,62,46.3154754638672,664,202,664,202
"Tapirus terrestris",-76.311664,-0.735052,25.060583114624,9.44091701507568,85.8479843139648,53.6953239440918,30.6497497558594,19.6525001525879,10.9972496032715,24.6981258392334,25.5559177398682,25.6315841674805,24.3113746643066,3279,358,195,19.7569370269775,1016,601,664,908
"Tapirus terrestris",-76.307069,-0.715979,25.060583114624,9.44091701507568,85.8479843139648,53.6953239440918,30.6497497558594,19.6525001525879,10.9972496032715,24.6981258392334,25.5559177398682,25.6315841674805,24.3113746643066,3279,358,195,19.7569370269775,1016,601,664,908
"Tapirus terrestris",-77.750956,-1.173723,22.429479598999,9.34212493896484,88.0273742675781,43.567455291748,27.8334999084473,17.2207508087158,10.6127490997314,22.1915836334229,22.7161254882812,22.814416885376,21.7589588165283,4336,500,244,21.3648357391357,1377,794,961,1251
"Tapirus terrestris",-46.155242,-23.616288,17.8621559143066,8.99343776702881,55.158390045166,249.28239440918,25.2192497253418,8.91450023651123,16.3047485351562,20.7507495880127,14.7347497940063,20.8638343811035,14.7347497940063,1835,262,61,47.9600563049316,745,210,725,210
"Tapirus terrestris",-56.8404,-16.776137,25.5788021087646,11.6740627288818,63.2372055053711,196.477264404297,33.5279998779297,15.06725025177,18.460750579834,27.0791664123535,22.7401676177979,27.2365837097168,22.7401676177979,1284,216,21,68.0150299072266,599,69,446,69
"Tapirus terrestris",-56.659194,-16.386287,25.3536148071289,11.8038959503174,63.8937797546387,186.023376464844,33.2859992980957,14.8117504119873,18.4742488861084,26.7963333129883,22.6614170074463,26.882625579834,22.6614170074463,1313,213,20,67.1816177368164,599,66,571,66
"Tapirus terrestris",-54.474632,-25.669314,20.3999900817871,12.4363126754761,56.0882720947266,360.222869873047,31.0907497406006,8.91800022125244,22.1727485656738,22.581916809082,16.8968753814697,24.6264171600342,15.9285001754761,1753,199,108,16.8655223846436,492,357,457,370
"Tapirus terrestris",-77.420532,-1.145718,23.9999485015869,9.39543724060059,88.2780990600586,45.5916748046875,29.423999786377,18.7810001373291,10.6429996490479,23.6607074737549,24.3419990539551,24.4263324737549,23.3307075500488,4181,474,245,20.595817565918,1311,775,950,1196
"Tapirus terrestris",-56.315147,-19.939713,24.90842628479,11.6887712478638,63.5993804931641,244.668395996094,32.8754997253418,14.4967498779297,18.3787498474121,27.1876659393311,21.5766258239746,27.1876659393311,21.5766258239746,1327,216,32,54.7730178833008,576,116,576,116
"Tapirus terrestris",-54.512335,-25.637786,21.3033447265625,12.7992286682129,57.0674438476562,362.710601806641,32.1787490844727,9.7504997253418,22.4282493591309,23.6007080078125,16.7764587402344,25.5077075958252,16.7764587402344,1782,195,103,17.2657260894775,518,360,474,360
